ID,Name
1,A Walkington
2,A. R. Murugadoss
3,AL and AL
4,Aaron Schock
5,Abbas Kiarostami
6,Abdellatif Kechiche
7,Abderrahmane Sissako
8,Abidine Dino
9,Abolfazl Jalili
10,Achero Mañas
11,Adam Baybutt
12,Adam Elliot
13,Adam Isenberg
14,Aditya Assarat
15,Adolfo Aristarain
16,Adrian Shergold
17,Adriene Jenik
18,Adrienne Shelly
19,Adrián Biniez
20,Adrián Saba
21,Agnieszka Holland
22,Agnès Jaoui
23,Agnès Varda
24,Agusti Villaronga
25,Agustin Diaz Yanes
26,Aisling Walsh
27,Aitor Arregi
28,Aitor Mazo
29,Aki Kaurismäki
30,Akira Kurosawa
31,Ako Sirini
32,Aktam Arym Kubat
33,Ala Mohseni
34,Alain Gomis
35,Alain Guiraudie
36,Alain Resnais
37,Alan Lowery
38,Alan Mak
39,Alan Miles
40,Alan Parker
41,Alastair Fothergill
42,Albert Lamorisse
43,Albert Lewin
44,Albert Parker
45,Albert Serra
46,Alberto Cavalcanti
47,Alberto Cortés
48,Alberto Gout
49,Alberto Lecchi
50,Alberto Rodríguez
51,Alberto Vendemmiati
52,Alberto ‘Chicho' Durant
53,Alejandra Sánchez
54,Alejandro Agresti
55,Alejandro Amenábar
56,Alejandro Brugués
57,Alejandro González Iñárritu
58,Alejandro Jodorowsky
59,Alejandro Landes
60,Alejandro Springall
61,Aleksandr Manic
62,Aleksandr Sokurov
63,Aleksei Fedorchenko
64,Aleksei Popogrebsky
65,Alex Cooke
66,Alex Cox
67,Alex Gibney
68,Alex Hassell
69,Alex Holdridge
70,Alex Lai
71,Alex Rivera
72,Alex de la Iglesia
73,Alexander Dovzhenko
74,Alexander Kluge
75,Alexander Mackendrick
76,Alexander Payne
77,Alexander Rogozhkin
78,Alexander Sokurov
79,Alfonso Albacete
80,Alfonso Arau
81,Alfonso Corona Blake
82,Alfonso Cuarón
83,Alfonso Sánchez
84,Alfonso Zarauza
85,Alfred Hitchcock
86,Alfredo B Crevenna
87,Alfredo Cozzi
88,Alice Nellis
89,Alice Rohrwacher
90,Alison Grist
91,Alison Klayman
92,Alison Maclean
93,Alison Peebles
94,Alix Delaporte
95,Allen Hughes
96,Aluizio Abranches
97,Amat Escalante
98,Amir Bar-Lev
99,Amit Dutta
100,Amma Asante
